No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,Nearby Places Count,Top 3-5 Nearby Places (EN | KH | Distance),English Search Keywords (Pipe Separated),Khmer Search Keywords (Pipe Separated)
116,"CHHA007","Prey Kri 01","Kampong Chhnang","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","Prey Kri","ព្រៃគ្រី","040205","12.164788","104.881038",2,"Phsa Prey Kri (ផ្សារ ព្រេយ ក្រី) - 1.64km ; Chol Kiri Center (ជលគីរី មជ្ឈមណ្ឌល) - 0km","CHHA007 | Prey Kri 01 | Kampong Chhnang | Chol Kiri | Phsa Prey Kri | Chol Kiri Center","កំពង់ឆ្នាំង | ជលគីរី | ផ្សារ ព្រេយ ក្រី | ជលគីរី មជ្ឈមណ្ឌល"
117,"CHHA008","Peam Chhkaok","Kampong Chhnang","កំពង់ឆ្នាំង","Chol Kiri","ជលគីរី","Peam Chhkaok","ពាមឆ្កោក","040204","12.207648","104.816967",2,"Phsa Prey Kri (ផ្សារ ព្រេយ ក្រី) - 8.61km ; Chol Kiri Center (ជលគីរី មជ្ឈមណ្ឌល) - 0km","CHHA008 | Peam Chhkaok | Kampong Chhnang | Chol Kiri | Phsa Prey Kri | Chol Kiri Center","កំពង់ឆ្នាំង | ជលគីរី | ផ្សារ ព្រេយ ក្រី | ជលគីរី មជ្ឈមណ្ឌល"
118,"CHHA009","Krang Skear","Kampong Chhnang","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","Krang Skear","ក្រាំងស្គារ","040806","12.238376","104.278047",1,"Tuek Phos Center (ទឹកផុស មជ្ឈមណ្ឌល) - 0km","CHHA009 | Krang Skear | Kampong Chhnang | Tuek Phos | Tuek Phos Center","កំពង់ឆ្នាំង | ទឹកផុស | ទឹកផុស មជ្ឈមណ្ឌល"
119,"CHHA010","Chhnok Tru","Kampong Chhnang","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","Chhnok Tru","ឆ្នុកទ្រូ","040102","12.50071","104.4547",3,"Chhnok Tru Market (ផ្សារឆនូក ត្រុ) - 0.07km ; Ponley Market (ផ្សារពូនលេយ) - 6.93km ; Baribour Center (បរិបូណ៌ មជ្ឈមណ្ឌល) - 0km","CHHA010 | Chhnok Tru | Kampong Chhnang | Baribour | Chhnok Tru Market | Ponley Market | Baribour Center","កំពង់ឆ្នាំង | បរិបូណ៌ | ផ្សារឆនូក ត្រុ | ផ្សារពូនលេយ | បរិបូណ៌ មជ្ឈមណ្ឌល"
120,"CHHA011","Svay Chrum","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Svay Chrum","ស្វាយជ្រុំ","040612","12.279551","104.591655",5,"Psar Pongror (ផ្សារ ពូងរូរ) - 0.1km ; Psar Smart (ផ្សារ សមារត) - 4.11km ; Kompong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 7.99km ; Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 8.51km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 8.51km","CHHA011 | Svay Chrum | Kampong Chhnang | Rolea B'ier | Psar Pongror | Psar Smart | Kompong Chhnang Market | Kampong Chhnang Market | Phsar Leu Kampong Chhnang","កំពង់ឆ្នាំង | រលាប្អៀរ | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង"
121,"CHHA012","Trangel","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Leaeng","កំពង់លែង","Trangel","ត្រងិល","040409","12.2854","104.729588",5,"K. Leaeng Maret () - 1.25km ; Phsar Santipheap Kampong Boeng (ផ្សារ សានតីផោព កំពង់ បឹង) - 1.27km ; Psar Khrom Market (ផ្សារក្រោម) - 5.98km ; Phsar Kroum () - 6km ; Kompong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 7.01km","CHHA012 | Trangel | Kampong Chhnang | Kampong Leaeng | K. Leaeng Maret | Phsar Santipheap Kampong Boeng | Psar Khrom Market | Phsar Kroum | Kompong Chhnang Market","កំពង់ឆ្នាំង | កំពង់លែង | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារក្រោម | ផ្សារកំពង់ឆ្នាំង"
122,"CHHA013","Phsar","Kampong Chhnang","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","Phsar","ផ្សារ","040107","12.381489","104.487486",3,"Baribo Market (ផ្សារបរិបូណ៌) - 0.23km ; Phsar () - 0.43km ; Ponley Market (ផ្សារពូនលេយ) - 6.94km","CHHA013 | Phsar | Kampong Chhnang | Baribour | Baribo Market | Ponley Market","កំពង់ឆ្នាំង | បរិបូណ៌ | ផ្សារបរិបូណ៌ | ផ្សារពូនលេយ"
123,"CHHA014","Krang Leav","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Krang Leav","ក្រាំងលាវ","040606","12.26828","104.610975",5,"Psar Smart (ផ្សារ សមារត) - 1.95km ; Psar Pongror (ផ្សារ ពូងរូរ) - 2.36km ; Kompong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 6.06km ; Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 6.11km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 6.11km","CHHA014 | Krang Leav | Kampong Chhnang | Rolea B'ier | Psar Smart | Psar Pongror | Kompong Chhnang Market | Kampong Chhnang Market | Phsar Leu Kampong Chhnang","កំពង់ឆ្នាំង | រលាប្អៀរ | ផ្សារ សមារត | ផ្សារ ពូងរូរ | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង"
124,"CHHA015","Chrey Bak","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Chrey Bak","ជ្រៃបាក់","040604","12.198668","104.653831",5,"Prey Khmer Market (ផ្សារព្រៃខ្មែរ) - 3.16km ; Toul Karket (ផ្សារទួល ការកេត) - 3.63km ; Night Market (ផ្សាររាត្រី) - 4.74km ; Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 5.98km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 5.98km","CHHA015 | Chrey Bak | Kampong Chhnang | Rolea B'ier | Prey Khmer Market | Toul Karket | Night Market | Kampong Chhnang Market | Phsar Leu Kampong Chhnang","កំពង់ឆ្នាំង | រលាប្អៀរ | ផ្សារព្រៃខ្មែរ | ផ្សារទួល ការកេត | ផ្សាររាត្រី | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង"
125,"CHHA016","Chieb","Kampong Chhnang","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","Chieb","ជៀប","040802","12.257837","104.660942",5,"Kampong Chhnang Market (ផ្សារកំពង់ឆ្នាំង) - 0.81km ; Phsar Leu Kampong Chhnang (ផ្សារលើកំពង់ឆ្នាំង) - 0.81km ; Psar Ler Market (ផ្សារ លើ) - 0.94km ; Phsar Kampong Chhnang (ផ្សារលើ កំពង់ឆ្នាំង) - 1.08km ; Phsar Kroum () - 2.06km","CHHA016 | Chieb | Kampong Chhnang | Tuek Phos | Kampong Chhnang Market | Phsar Leu Kampong Chhnang | Psar Ler Market | Phsar Kampong Chhnang | Phsar Kroum","កំពង់ឆ្នាំង | ទឹកផុស | ផ្សារកំពង់ឆ្នាំង | ផ្សារលើកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារលើ កំពង់ឆ្នាំង"
