No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
133,"CHHA024","Phsar Trach","Phnom Penh","ភ្នំពេញ","Doun Penh","ដូនពេញ","Phsar Chas","ផ្សារចាស់","120209","11.840042","104.716812",5,"CHHA024 | Phsar Trach | Doun Penh | 120209 | night market",15,"ភ្នំពេញ | ដូនពេញ | ផ្សារចាស់ | ផ្សារូដូងក | ផ្សារដាមនាក សមាកក | ផ្សារ តបែង ខពូស | ផ្សារsalalek5 | ផ្សារកាមកូង លុូង | ផ្សារត្រាច | ផ្សារឧដុង្គ | ភូមិផ្សារត្រាច | ផ្សាររាត្រី | សាលាបឋមសិក្សា ផ្សារត្រាច | អនុវិទ្យាល័យ ផ្សារត្រាច | ផ្សារខ្សាច់ពូន"
134,"CHHP001","Kampong Chhnang","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","Phsar Chhnang","ផ្សារឆ្នាំង","040301","12.259851","104.67255",5,"CHHP001 | Kampong Chhnang | 040301 | kampong chhnang central market | night market",13,"កំពង់ឆ្នាំង | ផ្សារឆ្នាំង | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
135,"CHHS001","Kampong Chhnang","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang","កំពង់ឆ្នាំង","Phsar Chhnang","ផ្សារឆ្នាំង","040301","12.2529466","104.6681428",5,"CHHS001 | Kampong Chhnang | 040301 | kampong chhnang central market | night market",13,"កំពង់ឆ្នាំង | ផ្សារឆ្នាំង | ផ្សារទួល ការកេត | ផ្សារកំពង់ឆ្នាំង | ផ្សារ លើ | ផ្សារក្រោម | ផ្សារព្រៃខ្មែរ | ផ្សារ សានតីផោព កំពង់ បឹង | ផ្សារ ពូងរូរ | ផ្សារ សមារត | ផ្សារលើកំពង់ឆ្នាំង | ផ្សាររាត្រី | ផ្សារលើ កំពង់ឆ្នាំង"
136,"CHHS002","Peani","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Peani","ពានី","040507","11.9371944","104.7135",4,"CHHS002 | Peani | Kampong Tralach | 040507",11,"កំពង់ឆ្នាំង | កំពង់ត្រឡាច | ពានី | ផ្សារsalalek5 | ផ្សារត្រាច | ផ្សារក្បាលដំរី | ផ្សារ ថនូាល តូតុេង | ផ្សារ តាចេស | ភូមិផ្សារត្រាច | សាលាបឋមសិក្សា ផ្សារត្រាច | អនុវិទ្យាល័យ ផ្សារត្រាច"
137,"OU RUESSEI 02","Ou Ruessei 02","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Tralach","កំពង់ត្រឡាច","Ou Ruessei","អូរឫស្សី","040506","","",3,"OU RUESSEI 02 | Kampong Tralach | 040506",3,"កំពង់ឆ្នាំង | កំពង់ត្រឡាច | អូរឫស្សី"
138,"KAMTEST01","Ankor Chey","Kampot","កំពត","Angkor Chey","អង្គរជ័យ","Ankor Chey","អង្គរជ័យ","070102","","",4,"KAMTEST01 | Ankor Chey | Angkor Chey | 070102",2,"កំពត | អង្គរជ័យ"
139,"THUBPNP","Training Hub - PNP","Kampong Chhnang","កំពង់ឆ្នាំង","Baribour","បរិបូណ៌","Trapeang Chan","ត្រពាំងចាន់","040111","","",4,"THUBPNP | Training Hub - PNP | Baribour | 040111",3,"កំពង់ឆ្នាំង | បរិបូណ៌ | ត្រពាំងចាន់"
140,"TRAINING01","MF Training 01 - PNP","Kampot","កំពត","Tuek Chhou","ទឹកឈូ","Trapeang Pring","ត្រពាំងព្រីង","070717","","",4,"TRAINING01 | MF Training 01 - PNP | Tuek Chhou | 070717",3,"កំពត | ទឹកឈូ | ត្រពាំងព្រីង"
141,"TRAINING02","MF Training 02 - BAT","Kampong Chhnang","កំពង់ឆ្នាំង","Rolea B'ier","រលាប្អៀរ","Phnom Kraing Dey Meas","ភ្នំក្រាំងដីមាស","040614","","",4,"TRAINING02 | MF Training 02 - BAT | Rolea B'ier | 040614",3,"កំពង់ឆ្នាំង | រលាប្អៀរ | ភ្នំក្រាំងដីមាស"
142,"TRAINING03","MF Training 03 - PNP","Kampot","កំពត","Tuek Chhou","ទឹកឈូ","Trapeang Pring","ត្រពាំងព្រីង","070717","","",4,"TRAINING03 | MF Training 03 - PNP | Tuek Chhou | 070717",3,"កំពត | ទឹកឈូ | ត្រពាំងព្រីង"
